,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
1010,ACH,2020-02-29,601000,19-GP-ROSN,OLIVIERI,510.32,0.0,,
1019,ACH,2020-02-29,601000,19-GP-ROSN,LANCERY SAFIRE,6348.64,0.0,,
1021,ACH,2020-02-29,601000,19-GP-ROSN,SGP,575.37,0.0,,
1037,ACH,2020-02-28,611425,19-GP-ROSN,HELP SERVICE,700.0,0.0,,
1038,ACH,2020-02-28,601000,19-GP-ROSN,RECKLI,9647.95,0.0,,
1039,ACH,2020-02-28,611425,19-GP-ROSN,WSDTP,2350.0,0.0,,
1045,VEN,2020-02-28,706020,19-GP-ROSN,LNC ROSNY SOUS BOIS,0.0,71852.77,,
1052,ACH,2020-02-27,611427,19-GP-ROSN,KAZA PROPRETE NET,180.0,0.0,,
1053,ACH,2020-02-27,611424,19-GP-ROSN,GEOA,1350.0,0.0,,
1076,ACH,2020-02-20,611420,19-GP-ROSN,STEBAT,9000.0,0.0,,
1082,ACH,2020-02-17,606102,19-GP-ROSN,EDF,994.69,0.0,,
1100,ACH,2020-02-13,606103,19-GP-ROSN,SUEZ,562.9,0.0,,
1109,ACH,2020-02-08,601020,19-GP-ROSN,NORMAFER,4298.38,0.0,,
1149,ACH,2020-01-31,611436,19-GP-ROSN,ADN PROTECTION,525.0,0.0,,
1186,ACH,2020-01-31,601030,19-GP-ROSN,SYNEOS / IDF,4375.0,0.0,,
1196,ACH,2020-01-31,611428,19-GP-ROSN,POMPAGE IDF,1861.25,0.0,,
1233,ACH,2020-01-31,613110,19-GP-ROSN,KILOTOU,2420.8,0.0,,
1266,VEN,2020-01-31,706020,19-GP-ROSN,LNC ROSNY SOUS BOIS 20%,0.0,29959.94,,
1275,ACH,2020-01-30,611427,19-GP-ROSN,KAZA,180.0,0.0,,
1276,ACH,2020-01-30,611427,19-GP-ROSN,KAZA PROPRETE NET,180.0,0.0,,
1284,ACH,2020-01-29,611423,19-GP-ROSN,CLJT CONSEILS,1500.0,0.0,,
1287,ACH,2020-01-28,613511,19-GP-ROSN,STI,7800.0,0.0,,
1301,ACH,2020-01-24,613511,19-GP-ROSN,STI,740.0,0.0,,
1305,ACH,2020-01-22,601020,19-GP-ROSN,NORMAFER,5575.4,0.0,,
1321,ACH,2020-01-17,606102,19-GP-ROSN,EDF,1001.37,0.0,,
1328,ACH,2020-01-16,611420,19-GP-ROSN,STEBAT,5000.0,0.0,,
1342,ACH,2020-01-15,215500,19-GP-ROSN,LAVE BOTTES,295.0,0.0,,
